,remote_hostname,company,company_website,result
311,hotspotproxy.live,hotspotproxy.live,https://hotspotproxy.live/,CDN
374,plexapp.com,Plex,https://www.plex.tv/,CDN
180,itunes.com,Apple,https://www.apple.com,CDN
21,akamaihd.net,Akamai Technologies,https://www.akamai.com/,CDN
90,samsungotn.net,Samsung,https://www.samsung.com/,CDN
397,acquia.com,Acquia,https://www.acquia.com/,CDN
483,cdn-apple.com,Apple Inc.,https://www.apple.com/,CDN
4,netflix.com,Streaming media provider,https://www.netflix.com/,CDN
390,media-allrecipes.com,Allrecipes,https://www.allrecipes.com/,CDN
350,sc-static.net,"Akamai Technologies, Inc.",https://www.akamai.com/,CDN
197,ssl-images-amazon.com,Amazon,https://www.amazon.com/,CDN
61,azureedge.net,Microsoft,https://www.microsoft.com/,CDN
14,amazonvideo.com,Amazon,https://www.amazon.com,CDN
24,nflxvideo.net,Netflix,https://www.netflix.com/,CDN
234,avcdn.net,Akamai Technologies,https://www.akamai.com/,CDN
423,aiv-cdn.net,AIV,https://www.aiv-inc.com/,CDN
124,samsungcloud.com,Samsung,https://www.samsung.com/,CDN
153,uplynk.com,Uplynk,https://www.uplynk.com/,CDN
494,windowsupdate.com,Microsoft Corporation,https://www.microsoft.com,CDN
349,ampproject.net,Google,https://www.google.com/,CDN
