,remote_hostname,company,company_website,result
2200,spd-mgts.ru,MGTS,https://www.mgts.ru/,static server
2201,serverprofi24.com,ServerProfi24,https://www.serverprofi24.com/,static server
2202,xkcd.com,xkcd,https://xkcd.com/,static server
2203,perfectmarket.com,Perfect Market,https://www.perfectmarket.com/,Advertising
2204,opecloud.com,OPE Cloud,https://www.opecloud.com/,CDN
2205,pppoe.ca,Bell Canada,https://www.bell.ca/,DNS
2206,amazon.com.mx,Amazon,amazon.com,e-commerce
2207,usgs.gov,US Geological Survey,usgs.gov,static server
2208,amazon.com.br,Amazon,https://www.amazon.com/,first-party host
2209,mopidy.com,Mopidy,https://mopidy.com/,static server
2210,squarespace.com,Squarespace,https://www.squarespace.com/,static server
2211,me.me,ME.me,https://me.me/,meme sharing platform
2212,herokudns.com,Heroku,https://www.heroku.com/,DNS
2213,akadns6.net,Akamai Technologies,https://www.akamai.com/,DNS
2214,elliemae.io,"Ellie Mae, Inc.",https://www.elliemae.com/,CDN
2215,alarm.com,Alarm.com,https://www.alarm.com/,first-party host
2216,devicetask.com,DeviceTask,devicetask.com,static server
2217,mega.nz,Mega Limited,https://mega.nz/,static server
2218,openload.co,Openload,https://openload.co/,static server
2219,titlovi.com,Unknown,,first-party host
2220,xiti.com,AT Internet,https://www.atinternet.com/,analytics
2221,cellular.de,Deutsche Telekom AG,https://www.telekom.com/en,first-party host
2222,shawcable.net,Shaw Communications Inc.,https://www.shaw.ca/,DNS
2223,alphacdn.net,AlphaCDN,https://www.alphacdn.net/,CDN
2224,hik-connect.com,Hikvision,https://www.hikvision.com,first-party host
2225,ezvizlife.com,EZVIZ,https://www.ezvizlife.com/,first-party host
2226,zdbb.net,,,DNS
2227,dc-1.net,Unknown,,CDN
2228,inner-active.mobi,Inneractive,https://www.inner-active.com/,advertising
2229,swiftkey.com,Microsoft,https://www.microsoft.com/,marketing
2230,adnxs.net,AppNexus,https://www.appnexus.com/,advertising
2231,fastlylb.net,Fastly,https://www.fastly.com/,CDN
2232,spiegel.de,Spiegel Online GmbH,https://www.spiegelgruppe.de/,first-party host
2233,cdn77.com,CDN77,https://www.cdn77.com/,CDN
2234,discord.media,Discord,https://discord.com/,CDN
2235,discord.com,Discord Inc.,https://discord.com/,first-party host
2236,reson8.com,Reson8,https://www.reson8.com/,marketing
2237,leadpages.io,Leadpages,https://www.leadpages.com/,marketing
2238,lpages.co,Leadpages,https://www.leadpages.com/,marketing
2239,vilynx.com,Vilnyx,vilynx.com,video analytics
2240,makeuseof.com,MakeUseOf,https://www.makeuseof.com/,first-party host
2241,xbox.com,Microsoft Corporation,https://www.microsoft.com/,first-party host
2242,hwcdn.net,Highwinds Network Group,https://highwinds.com/,CDN
2243,eeroup.com,Eeroup,,invalid
2244,e2ro.com,E2RO,e2ro.com,marketing
2245,bwbx.io,Bloomberg,https://www.bloomberg.com/,CDN
2246,raiplay.it,RAI - Radiotelevisione Italiana S.p.A.,https://www.rai.it/,first-party host
2247,roksit.net,Roksit,https://roksit.net/,CDN
2248,edigitalsurvey.com,eDigitalResearch,https://edigitalsurvey.com/,analytics
