,remote_hostname,company,company_website,result
2200,spd-mgts.ru,SPD MGTS,https://spd-mgts.ru/,first-party host
2201,serverprofi24.com,Serverprofis GmbH,https://www.serverprofis.de/,static server
2202,xkcd.com,xkcd,https://xkcd.com/,static server
2203,perfectmarket.com,Perfect Market,https://www.perfectmarket.com/,marketing
2204,opecloud.com,OpeCloud,https://www.opecloud.com/,static server
2205,pppoe.ca,PPPoE.ca,https://pppoe.ca/,DNS
2206,amazon.com.mx,Amazon,https://www.amazon.com/,first-party host
2207,usgs.gov,US Geological Survey,usgs.gov,static server
2208,amazon.com.br,Amazon,https://www.amazon.com,first-party host
2209,mopidy.com,Mopidy,https://mopidy.com/,static server
2210,squarespace.com,Squarespace,https://www.squarespace.com/,first-party host
2211,me.me,Me.me,https://me.me/,meme sharing platform
2212,herokudns.com,Heroku,https://www.heroku.com/,DNS
2213,akadns6.net,Akamai Technologies,https://www.akamai.com/,DNS
2214,elliemae.io,"Ellie Mae, Inc.",https://www.elliemae.com/,first-party host
2215,alarm.com,Alarm.com,https://www.alarm.com/,first-party host
2216,devicetask.com,DeviceTask,devicetask.com,CDN
2217,mega.nz,Mega Limited,https://mega.nz/,CDN
2218,openload.co,Openload,https://openload.co/,static server
2219,titlovi.com,Unknown,,first-party host
2220,xiti.com,AT Internet,https://www.atinternet.com/,analytics
2221,cellular.de,freenet AG,https://www.freenet-group.de/,first-party host
2222,shawcable.net,Shaw Communications Inc.,https://www.shaw.ca/,DNS
2223,alphacdn.net,AlphaCDN,https://www.alphacdn.com/,CDN
2224,hik-connect.com,Hikvision,https://www.hikvision.com/,CDN
2225,ezvizlife.com,EZVIZ Inc.,https://www.ezvizlife.com/,first-party host
2226,zdbb.net,Unknown,,DNS
2227,dc-1.net,Unknown,,CDN
2228,inner-active.mobi,Inneractive,https://inner-active.com/,advertising
2229,swiftkey.com,Microsoft,https://www.microsoft.com/,first-party host
2230,adnxs.net,AppNexus,https://www.appnexus.com/,advertising
2231,fastlylb.net,Fastly,https://www.fastly.com/,CDN
2232,spiegel.de,,,
2233,cdn77.com,CDN77,https://www.cdn77.com/,CDN
2234,discord.media,Discord,https://discord.com/,CDN
2235,discord.com,Discord Inc.,https://discord.com/,first-party host
2236,reson8.com,Reson8,https://reson8.com/,marketing
2237,leadpages.io,Leadpages,https://www.leadpages.com/,marketing
2238,lpages.co,Leadpages,https://www.leadpages.net/,marketing
2239,vilynx.com,Vilynx,https://vilynx.com/,analytics
2240,makeuseof.com,MakeUseOf,https://www.makeuseof.com/,marketing
2241,xbox.com,Microsoft Corporation,https://www.microsoft.com/,first-party host
2242,hwcdn.net,Highwinds Network Group,https://www.stackpath.com/,CDN
2243,eeroup.com,Unknown,,DNS
2244,e2ro.com,E2RO,https://www.e2ro.com/,static server
2245,bwbx.io,Bloomberg L.P.,https://www.bloomberg.com/,CDN
2246,raiplay.it,RAI (Radiotelevisione italiana S.p.A.),https://www.rai.it/,first-party host
2247,roksit.net,Roksit,https://www.roksit.net/,CDN
2248,edigitalsurvey.com,eDigitalResearch,https://edigitalresearch.com/,survey
2249,nibeuplink.com,,,
2250,chirpbooks.com,Chirp Books,https://www.chirpbooks.com/,e-commerce
2251,control4.com,Control4,https://www.control4.com/,first-party host
2252,m2.ai,M2 AI,https://m2.ai/,static server
2253,gettyimages.com,Getty Images,www.gettyimages.com,static server
2254,arstechnica.net,Condé Nast,https://www.condenast.com/,static server
2255,iesnare.com,Oracle,https://www.oracle.com/,tracking
2256,videoplayerhub.com,Unknown,,marketing
2257,netnod.se,,,
2258,polycom.com,Poly,https://www.poly.com/,first-party host
2259,flashdance.cx,,,first-party host
2260,fibianet.dk,Fibia Net,https://www.fibia.dk/,first-party host
2261,dscloud.biz,DSCLOUD,https://www.dscloud.biz/,CDN
2262,logmeininc.com,LogMeIn Inc.,https://www.logmeininc.com/,first-party host
2263,wia.cz,WirelessInfo,https://www.wirelessinfo.cz/,first-party host
2264,directwebhost.org,DirectWebhost,directwebhost.org,static server
2265,cphub.net,cphub.net,,CDN
2266,cloud-xip.io,Cloud-XIP,https://cloud-xip.io/,CDN
2267,scarabresearch.com,Scarab Research,www.scarabresearch.com,analytics
2268,pandasecurity.com,Panda Security,https://www.pandasecurity.com/,marketing
2269,gcdn.co,GCore Labs,https://gcorelabs.com/,CDN
2270,goto-rtc.com,GotoMeeting,https://www.gotomeeting.com/,CDN
2271,ptd.net,,,
2272,getpostman.com,Postman,https://www.postman.com/,marketing
2273,eye4.cn,"Shenzhen VStarcam Technology Co., Ltd.",https://www.vstarcam.com/,tracking
2274,blokada.org,Blokada,https://blokada.org/,DNS
2275,fyu.se,Fyusion,https://fyusion.com/,CDN
2276,abcd.network,ABCD Network,https://abcd.network,CDN
