,remote_hostname,company,company_website,result
2000,as43234.net,DNS,https://as43234.net/,"This domain appears to belong to a DNS provider, which may be providing DNS resolution services for a customer's domain name. It is not possible to determine the exact purpose or customer of the domain without further information or investigation."
2001,cmds-tachyon.com,CDN provider,https://cmds-tachyon.com/,CDN
2002,usabilla.com,Usabilla,https://usabilla.com/,marketing
2003,truste-svc.net,TRUSTe,https://www.trustarc.com/,marketing
2004,lametric.com,LaMetric,https://lametric.com/,marketing
2005,cquotient.com,CQuotient,https://cquotient.com/,marketing
2006,rakuten.com,Rakuten,https://www.rakuten.com/,marketing
2007,oath.cloud,Oath,https://www.oath.com/,This URL does not provide enough information to determine its purpose.
2008,media6degrees.com,Media6Degrees,https://www.jebbit.com/,advertising
2009,inside-graph.com,InsideGraph,https://inside-graph.com/,analytics
2010,bitwarden.com,Bitwarden,https://bitwarden.com/,first-party host
2011,sweettooth.io,Sweet Tooth,https://www.sweettoothrewards.com/,marketing
2012,auvik.com,Auvik Networks,https://www.auvik.com/,network infrastructure management and monitoring platform
2013,leaseweb.com,Leaseweb,https://www.leaseweb.com/,CDN
2014,wo-cloud.com,WO Cloud,https://www.wo-cloud.com/,CDN
2015,youborafds01.com,,,
2016,ntp.org.cn,DNS,https://www.icann.org/,"The provided URL (ntp.org.cn) appears to be a DNS (Domain Name System) server, which translates domain names to IP addresses and manages the distribution of domain names and IP addresses across the internet."
2017,tableau.com,Tableau,https://www.tableau.com/,{'purpose': 'analytics'}
2018,telefonica.net,Telefónica,https://www.telefonica.com/,DNS
2019,abtasty.com,AB Tasty,https://www.abtasty.com/,marketing
2020,videoplaza.tv,Videoplaza,https://www.videoplaza.com/,advertising
2021,media-lab.ai,,,
2022,emisiondof6.com,Unknown,,DNS
2023,telefonica.com,Telefónica,https://www.telefonica.com/,first-party host
2024,dof6.com,Unknown,,Unable to determine the purpose of the provided URL
2025,lifx.com,LIFX,https://www.lifx.com/,marketing
2026,lifx.co,LIFX,https://www.lifx.com/,marketing
2027,114dns.com,114DNS,https://www.114dns.com/,DNS
2028,snssdk.com,ByteDance,https://www.bytedance.com/,CDN
2029,pstatp.com,ByteDance,https://www.bytedance.com/,advertising
2030,cloudlinks.cn,CloudLinks,https://www.cloudlinks.cn/,DNS
