,remote_hostname,company,company_website,result
3400,vidora.com,,,
3401,htlbid.com,The Trade Desk,https://www.thetradedesk.com/,tracking
3402,doctissimo.fr,TF1 Group,https://www.groupe-tf1.fr/,health and wellness content
3403,bintray.com,JFrog,https://jfrog.com/,CDN
3404,eedomus.com,eedomus,https://www.eedomus.com/,first-party host
3405,gigaset.net,Gigaset Communications GmbH,https://www.gigaset.com/,first-party host
3406,estpak.ee,Estpak,https://www.estpak.ee/,static server
3407,starman.ee,Starman AS,https://www.starman.ee/,static server
3408,libtorrent.org,Arvid Norberg,https://github.com/arvidn,static server
3409,unitymediagroup.de,Unity Media Group,https://www.unitymediagroup.de/,first-party host
3410,ovh.net,OVH,https://www.ovh.com/,CDN
3411,versanet.de,Versatel GmbH,https://www.versatel.de/,DNS
3412,kali.ru,,,
3413,googledomains.com,Google,https://www.google.com/,DNS
3414,dedibox.fr,Online SAS,https://www.online.net/,static server
3415,ntlworld.ie,Virgin Media Ireland,https://www.virginmedia.ie/,first-party host
3416,a3fiber.se,A3 Fiber,https://www.a3fiber.se/,static server
3417,webtrendslive.com,Webtrends,https://www.webtrends.com/,analytics
3418,c212.net,Cision,https://www.cision.com/,tracking
3419,sellpoint.net,SellPoints,https://www.sellpoints.com/,marketing
3420,telepacific.net,TelePacific Communications,https://www.tpx.com/,first-party host
3421,tiscali.it,Tiscali S.p.A.,https://www.tiscali.it/,first-party host
3422,masmovil.com,Masmovil,https://www.masmovil.com/,first-party host
3423,quickddns.com,No-IP,https://www.noip.com/,DNS
3424,mojang.com,,,
3425,mail.com,1&1 Mail & Media Inc.,https://www.mail.com/,email service
3426,soho.net.ua,SOHO Group,https://www.soho.net.ua/,first-party host
3427,northwestel.net,Northwestel,https://www.nwtel.ca/,static server
3428,thexem.de,TheXEM,https://www.thexem.de/,CDN
3429,zoneminder.com,ZoneMinder,https://www.zoneminder.com/,static server
3430,galacticmouse.press,Galacticmouse,galacticmouse.press,DNS
3431,slickvpn.com,SlickVPN,https://www.slickvpn.com/,VPN service provider
3432,xboxservices.com,Microsoft Corporation,https://www.microsoft.com/,first-party host
3433,giphy.com,GIPHY Inc.,https://giphy.com/,marketing
3434,adtech.de,adtech,https://www.adtech.com/,advertising
3435,microsoftonline-p.com,Microsoft,https://www.microsoft.com/,advertising
3436,msocdn.com,Microsoft,https://www.microsoft.com/,CDN
3437,msftauth.net,Microsoft,https://www.microsoft.com/,authentication
3438,zscaler.com,Zscaler,https://www.zscaler.com/,CDN
3439,playon.tv,MediaMall Technologies,https://www.playon.tv/,streaming
3440,valve.net,Valve Corporation,https://www.valvesoftware.com/,CDN
3441,ovpn.com,"OpenVPN Technologies, Inc.",https://openvpn.net/,VPN provider
3442,clouddevice.io,CloudDevice,https://clouddevice.io/,static server
3443,provide.net,Provide Technologies,https://www.provide.net/,static server
3444,ixsystems.com,iXsystems,https://www.ixsystems.com,first-party host
3445,webcollage.net,Webcollage,https://www.webcollage.com/,marketing
3446,buienradar.nl,RTL Nederland,https://www.rtl.nl/,weather forecasting
3447,musixmatch.com,Musixmatch,https://www.musixmatch.com/,static server
3448,swipeforwardgames.com,Swipe Forward LLC,https://swipeforwardgames.com/,marketing
3449,syringanetworks.net,Syringa Networks,https://syringanetworks.net/,static server
3450,unlv.edu,"University of Nevada, Las Vegas",https://www.unlv.edu/,first-party host
3451,fr24.com,Flightradar24 AB,https://www.flightradar24.com/,analytics
3452,armbian.com,Armbian,https://www.armbian.com/,static server
3453,thinkstockphotos.com,Getty Images,https://www.gettyimages.com/,static server
3454,domoticz.com,Domoticz,https://www.domoticz.com/,first-party host
3455,myopenhab.org,OpenHAB Foundation,https://www.openhabfoundation.org/,first-party host
3456,thingspeak.com,MathWorks,https://www.mathworks.com/,IoT analytics platform
3457,homeseer.com,HomeSeer,https://homeseer.com/,first-party host
3458,flightradar24.com,,,
3459,webmin.com,Webmin,https://www.webmin.com/,first-party host
3460,rayjump.com,Rayjump Technologies Inc.,https://www.rayjump.com/,advertising
3461,myq-cloud.com,Chamberlain Group,https://www.chamberlain.com/,CDN
3462,nextcloud.com,Nextcloud GmbH,https://nextcloud.com/,static server
3463,ip-37-187-109.eu,OVH SAS,https://www.ovh.com/,static server
3464,inria.fr,Inria,https://www.inria.fr/en,first-party host
3465,linksyssmartwifi.com,Linksys,https://www.linksys.com/,first-party host
3466,fibaro.com,Fibar Group,https://www.fibaro.com/,first-party host
3467,infonet.ee,Infonet,https://www.infonet.ee/,first-party host
3468,ovh.ca,OVH,https://www.ovh.com/,DNS
3469,mystrom.ch,MyStrom,https://mystrom.ch,static server
3470,petcube.com,Petcube,https://petcube.com/,marketing
3471,pacloudflare.com,"Cloudflare, Inc.",https://www.cloudflare.com/,CDN
3472,brightcloud.com,BrightCloud,https://www.brightcloud.com/,CDN
