,remote_hostname,company,company_website,result
400,nintendo.net,Nintendo,https://www.nintendo.com/,first-party host
401,virginm.net,Virgin Media,https://www.virginmedia.com/,first-party host
402,onedrive.com,Microsoft,https://www.microsoft.com/,static server
403,cloudflare.com,"Cloudflare, Inc.",https://www.cloudflare.com/,CDN
404,windows.com,Microsoft Corporation,https://www.microsoft.com/,first-party host
405,brightcove.net,Brightcove Inc.,https://www.brightcove.com/,CDN
406,brightcove.com,Brightcove,https://www.brightcove.com/,CDN
407,discord.gg,Discord,https://discord.com/,first-party host
408,boltdns.net,Bolt DNS,https://boltdns.net/,DNS
409,steampowered.com,Valve Corporation,https://www.valvesoftware.com/,CDN
410,twitch.tv,"Twitch Interactive, Inc.",https://www.twitch.tv/,first-party host
411,salesforce.com,Salesforce,https://www.salesforce.com/,first-party host
412,twitchcdn.net,"Twitch Interactive, Inc.",https://www.twitch.tv/,CDN
413,siteforce.com,Salesforce,https://www.salesforce.com/,marketing
414,transacme.com,Transacme,transacme.com,first-party host
415,tuyaus.com,,,
416,2o7.net,Adobe Systems,https://www.adobe.com/,analytics
417,ihrhls.com,Unknown,,CDN
418,iheart.com,"iHeartMedia, Inc.",https://www.iheartmedia.com/,streaming radio and podcasts platform
419,zillowstatic.com,"Zillow Group, Inc.",https://www.zillowgroup.com/,static server
420,gumgum.com,GumGum,https://gumgum.com/,advertising
421,tailtarget.com,Tail Target,https://tailtarget.com/,marketing
422,doordash.com,DoorDash,https://www.doordash.com/,first-party host
423,aiv-cdn.net,Akamai Technologies,https://www.akamai.com/,CDN
424,as13285.net,TalkTalk,https://www.talktalk.co.uk/,DNS
425,live.com,Microsoft Corporation,https://www.microsoft.com/,first-party host
426,meethue.com,Signify,https://www.signify.com/,marketing
427,tplinkra.com,TP-Link,https://www.tp-link.com/,first-party host
428,tplinkcloud.com,TP-Link,https://www.tp-link.com/,CDN
429,pushbullet.com,Pushbullet,https://www.pushbullet.com/,marketing
430,nist.gov,National Institute of Standards and Technology,https://www.nist.gov/,first-party host
431,fungames-forfree.com,,,
432,tunein.com,,,
433,feelinsonice.com,Uber,https://www.uber.com/,tracking
434,adblockplus.org,eyeo GmbH,https://eyeo.com/,marketing
435,tuyaeu.com,,,
436,bamgrid.com,BAMTECH Media,https://bamtechmedia.com/,CDN
437,babbel.com,Babbel,https://www.babbel.com/,first-party host
438,presage.io,Presage,https://presage.io/,analytics
439,worldlifestyle.com,World Lifestyle,https://www.worldlifestyle.com/,marketing
440,irobotapi.com,iRobot Corporation,https://www.irobot.com/,API endpoint
441,pbs.org,PBS,https://www.pbs.org/,first-party host
442,mlbstatic.com,,,
443,datadome.co,Datadome,datadome.co,anti-bot and fraud prevention service
444,githubusercontent.com,GitHub,https://github.com/,CDN
445,tmdb.org,The Movie Database (TMDb),https://www.themoviedb.org/,static server
446,github.com,"GitHub, Inc.",https://github.com/,static server
447,opendns.com,Cisco,https://www.cisco.com/,DNS
448,bit.nl,BIT BV,https://www.bit.nl/,static server
449,amplitude.com,Amplitude,https://amplitude.com/,analytics
450,herokuapp.com,Salesforce,https://www.salesforce.com/,static server
451,alexa.com,"Amazon.com, Inc.",https://www.amazon.com/,analytics
452,imgur.com,Imgur,https://imgur.com/,CDN
453,tetaneutral.net,Tetaneutral,https://www.tetaneutral.net/,CDN
454,amazontrust.com,Amazon,https://www.amazon.com/,CDN
455,amazon.de,Amazon,https://www.amazon.com/,e-commerce
456,bit.ly,,,
457,archive.org,Internet Archive,https://archive.org/,static server
458,segment.io,Segment,https://segment.com/,analytics
459,kodi.tv,XBMC Foundation,https://xbmc.org/,first-party host
460,op.gg,OP.GG,https://op.gg/,analytics
461,f-droid.org,F-Droid Limited,https://f-droid.org/,static server
462,lastpass.com,LastPass,https://www.lastpass.com/,first-party host
463,quad9.net,Quad9,https://www.quad9.net/,DNS
464,bootstrapcdn.com,MaxCDN,https://www.maxcdn.com/,CDN
465,fontawesome.com,Font Awesome,https://fontawesome.com/,static server
466,jquery.com,jQuery Foundation,https://jquery.org/,CDN
467,speedtest.net,Ookla,https://www.ookla.com/,CDN
468,amazonpay.com,Amazon,https://www.amazon.com/,payment gateway
469,d3js.org,Data-Driven Documents,https://d3js.org/,static server
